node,name,in_degree,out_degree,betweeness,len_descendants,descendants_avg_len,between_perctle,descendants_perctle
6453, Bangkok Chemical plant,2,3,18.0,3,6352.883,0.5806451612903226,0.46840051546311645
16226, Bangkok Oil refinery,4,2,12.0,5,8326.904,0.3870967741935484,0.6388304726903146
13142, Jakarta Steel mill,8,6,21.0,6,4778.718,0.6774193548387096,0.3324927041386411
9678, Tehran Coffee refinery,2,1,2.0,1,2442.94,0.06451612903225806,0.13082993326020062
8473, Jakarta Fuel refinery,1,1,1.0,1,927.59,0.03225806451612903,0.0
17008, Jakarta Saw mill,5,5,9.0,5,6675.526,0.2903225806451613,0.4962563653703134
6578, Yekaterinburg Steel mill,8,6,3.0,6,7214.072,0.0967741935483871,0.542752512951762
12590, Ranchi Meat processing plant,4,1,8.0,1,1418.78,0.25806451612903225,0.04240759885048202
5493, Yerevan Livestock farm,5,1,9.0,2,3023.62,0.2903225806451613,0.18096378065224422
31524, Ranchi Steel mill,8,7,31.0,7,4486.04,1.0,0.3072239258321582
12853, Istanbul Steel mill,8,7,1.0,7,7716.437,0.03225806451612903,0.586124921584923
6551, Dhaka Saw mill,5,5,15.0,5,6935.548,0.4838709677419355,0.5187057407002266
18414, Jakarta Silver mill,1,2,2.0,2,4910.4,0.06451612903225806,0.3438616600046587
14913, Yerevan Chemical plant,5,3,15.0,3,5396.377,0.4838709677419355,0.38581918696278233
6424, Yerevan Oil refinery,4,2,8.0,5,12510.184,0.25806451612903225,1.0
6700, Yerevan Alcohol distillery,5,1,1.0,1,4392.08,0.03225806451612903,0.29911175337752494
13915, Busan Saw mill,5,5,1.0,5,7164.506,0.03225806451612903,0.5384731606754066
