from_node,to_node,distance,x_from,y_from,z_from,x_to,y_to,z_to
97611,113511,136.499,-4426.57,-4193.781,5.002,-4406.697,-4166.04,4.038
97611,113523,272.828,-4426.57,-4193.781,5.002,-4388.861,-4136.946,3.257
97611,104251,12669.208,-4426.57,-4193.781,5.002,-2278.816,-5981.261,3.259
113563,113523,48.428,-4381.273,-4127.512,3.052,-4388.861,-4136.946,3.257
113563,113570,946.604,-4381.273,-4127.512,3.052,-4216.122,-3959.696,2.754
113511,102383,135.713,-4406.697,-4166.04,4.038,-4384.92,-4140.023,3.259
113511,113523,136.504,-4406.697,-4166.04,4.038,-4388.861,-4136.946,3.257
113511,79654,135.789,-4406.697,-4166.04,4.038,-4422.213,-4196.234,5.003
102383,79654,269.828,-4384.92,-4140.023,3.259,-4422.213,-4196.234,5.003
102383,113476,1038.426,-4384.92,-4140.023,3.259,-4206.911,-3957.502,2.756
79654,96910,12634.617,-4422.213,-4196.234,5.003,-2277.087,-5976.571,3.259
102723,96910,278.615,-2211.738,-6000.678,4.323,-2277.087,-5976.571,3.259
102723,104676,139.684,-2211.738,-6000.678,4.323,-2245.282,-5990.968,3.965
104676,59176,139.684,-2245.282,-5990.968,3.965,-2213.469,-6005.37,4.323
104676,96910,139.647,-2245.282,-5990.968,3.965,-2277.087,-5976.571,3.259
104676,104251,139.643,-2245.282,-5990.968,3.965,-2278.816,-5981.261,3.259
59176,104251,278.61,-2213.469,-6005.37,4.323,-2278.816,-5981.261,3.259
113570,113535,36.159,-4216.122,-3959.696,2.754,-4209.761,-3953.273,2.757
113476,113534,113.136,-4206.911,-3957.502,2.756,-4188.974,-3935.633,2.767
113476,113533,225.108,-4206.911,-3957.502,2.756,-4167.499,-3917.33,2.782
113470,113535,216.942,-4171.778,-3914.559,2.781,-4209.761,-3953.273,2.757
113470,113534,108.798,-4171.778,-3914.559,2.781,-4188.974,-3935.633,2.767
113470,88359,2093.052,-4171.778,-3914.559,2.781,-3839.966,-3544.216,3.659
113533,113534,112.866,-4167.499,-3917.33,2.782,-4188.974,-3935.633,2.767
113533,71007,2761.17,-4167.499,-3917.33,2.782,-3748.094,-3442.839,3.935
113535,113534,109.052,-4209.761,-3953.273,2.757,-4188.974,-3935.633,2.767
88359,113515,428.987,-3839.966,-3544.216,3.659,-3766.517,-3457.042,3.893
88359,113506,486.785,-3839.966,-3544.216,3.659,-3856.929,-3425.34,2.455
113515,71007,93.049,-3766.517,-3457.042,3.893,-3748.094,-3442.839,3.935
113515,113506,320.225,-3766.517,-3457.042,3.893,-3856.929,-3425.34,2.455
113515,109779,900.298,-3766.517,-3457.042,3.893,-3598.304,-3255.956,4.227
71007,100408,1047.471,-3748.094,-3442.839,3.935,-3594.475,-3259.17,4.227
109779,102430,82.516,-3598.304,-3255.956,4.227,-3583.214,-3241.89,4.234
109779,111107,163.836,-3598.304,-3255.956,4.227,-3571.934,-3224.615,4.238
102430,100408,82.502,-3583.214,-3241.89,4.234,-3594.475,-3259.17,4.227
102430,41430,82.516,-3583.214,-3241.89,4.234,-3568.111,-3227.838,4.238
102430,111107,82.527,-3583.214,-3241.89,4.234,-3571.934,-3224.615,4.238
41430,100408,163.793,-3568.111,-3227.838,4.238,-3594.475,-3259.17,4.227
130169,50515,164.796,-3750.107,-2870.686,3.803,-3788.17,-2854.92,3.974
130169,115402,83.009,-3750.107,-2870.686,3.803,-3770.097,-2865.113,3.857
115402,115889,83.002,-3770.097,-2865.113,3.857,-3752.022,-2875.305,3.803
115402,148950,82.994,-3770.097,-2865.113,3.857,-3790.083,-2859.54,3.974
115402,50515,82.997,-3770.097,-2865.113,3.857,-3788.17,-2854.92,3.974
50515,107560,5140.351,-3788.17,-2854.92,3.974,-3571.371,-1810.124,3.785
115889,148950,164.787,-3752.022,-2875.305,3.803,-3790.083,-2859.54,3.974
148950,139901,5187.586,-3790.083,-2859.54,3.974,-3572.674,-1805.297,3.784
117777,126086,157.969,-3379.916,-3028.901,4.353,-3351.729,-3001.24,4.922
117777,110424,79.416,-3379.916,-3028.901,4.353,-3364.377,-3016.543,4.622
59726,112369,156.111,-3376.25,-3032.301,4.372,-3348.395,-3004.965,4.922
59726,110424,78.921,-3376.25,-3032.301,4.372,-3364.377,-3016.543,4.622
126086,110424,79.413,-3351.729,-3001.24,4.922,-3364.377,-3016.543,4.622
126086,121640,9032.602,-3351.729,-3001.24,4.922,-1160.013,-3115.982,2.424
112369,110424,78.94,-3348.395,-3004.965,4.922,-3364.377,-3016.543,4.622
112369,121357,9024.406,-3348.395,-3004.965,4.922,-1158.376,-3120.707,2.424
121640,128405,152.674,-1160.013,-3115.982,2.424,-1123.951,-3103.477,2.149
121640,128404,76.989,-1160.013,-3115.982,2.424,-1141.163,-3112.092,2.271
121357,127326,152.68,-1158.376,-3120.707,2.424,-1122.313,-3108.201,2.149
121357,128404,76.994,-1158.376,-3120.707,2.424,-1141.163,-3112.092,2.271
62871,127326,36.159,-1113.772,-3105.24,2.103,-1122.313,-3108.201,2.149
62871,72864,1147.821,-1113.772,-3105.24,2.103,-843.026,-3012.043,2.059
128405,128404,76.991,-1123.951,-3103.477,2.149,-1141.163,-3112.092,2.271
128405,126864,1430.665,-1123.951,-3103.477,2.149,-808.038,-2996.271,2.093
127326,128404,76.99,-1122.313,-3108.201,2.149,-1141.163,-3112.092,2.271
122599,84022,109.843,-806.647,-3001.073,2.079,-781.004,-2991.248,2.195
122599,115907,218.635,-806.647,-3001.073,2.079,-753.945,-2986.579,2.307
122599,72864,197.156,-806.647,-3001.073,2.079,-843.026,-3012.043,2.059
84022,84969,109.956,-781.004,-2991.248,2.195,-755.211,-2981.742,2.307
84022,115907,109.835,-781.004,-2991.248,2.195,-753.945,-2986.579,2.307
84022,126864,109.987,-781.004,-2991.248,2.195,-808.038,-2996.271,2.093
115907,126725,1339.118,-753.945,-2986.579,2.307,-434.311,-2911.669,4.031
126864,84969,219.154,-808.038,-2996.271,2.093,-755.211,-2981.742,2.307
84969,127666,1288.245,-755.211,-2981.742,2.307,-458.269,-2912.233,3.931
48830,126725,408.888,-360.778,-3025.909,3.252,-434.311,-2911.669,4.031
48830,106391,633.414,-360.778,-3025.909,3.252,-321.416,-2883.445,4.317
127666,126725,95.859,-458.269,-2912.233,3.931,-434.311,-2911.669,4.031
127666,112397,10414.069,-458.269,-2912.233,3.931,1624.093,-2158.179,5.158
126725,106391,244.21,-434.311,-2911.669,4.031,-321.416,-2883.445,4.317
106391,81912,9869.619,-321.416,-2883.445,4.317,1628.667,-2160.199,5.158
107560,108318,164.769,-3571.371,-1810.124,3.785,-3531.232,-1800.869,3.736
107560,77521,83.192,-3571.371,-1810.124,3.785,-3551.942,-1802.703,3.758
139901,101591,166.249,-3572.674,-1805.297,3.784,-3532.174,-1795.96,3.737
139901,77521,83.575,-3572.674,-1805.297,3.784,-3551.942,-1802.703,3.758
