id,node0,x_0,y_0,z_0,node1,x_1,y_1,z_1,bus,tram,track,streetType
72626, 81376, -3592.003, -2032.856, -4.209, 38468, -3574.350, -2092.284, -4.003,false,false,false,standard/country_large_old.lua,
95893, 38468, -3574.350, -2092.284, -4.003, 99574, -3557.784, -2155.042, -3.199,false,false,false,standard/country_large_old.lua,
65777, 98610, -3591.979, -1971.034, -4.199, 81376, -3592.003, -2032.856, -4.209,false,false,false,standard/country_large_old.lua,
62033, 84126, -3565.749, -1903.173, -3.637, 98610, -3591.979, -1971.034, -4.199,false,false,false,standard/country_large_old.lua,
109482, 109303, -5581.898, 3922.396, -10.137, 117681, -5531.946, 3980.352, -14.340,false,true,false,standard/country_large_old.lua,
103596, 100798, -5608.285, 3901.454, -6.044, 109303, -5581.898, 3922.396, -10.137,false,true,false,standard/country_large_old.lua,
111389, 117681, -5531.946, 3980.352, -14.340, 119573, -5498.678, 4049.252, -11.316,false,true,false,standard/country_large_old.lua,
111383, 119573, -5498.678, 4049.252, -11.316, 119574, -5491.021, 4076.943, -8.358,false,true,false,standard/country_large_old.lua,
72302, 119574, -5491.021, 4076.943, -8.358, 65088, -5484.330, 4125.691, -1.093,false,true,false,standard/country_large_old.lua,
118738, 76466, -5196.171, 4617.086, 2.973, 83602, -5115.664, 4665.968, -8.567,false,true,false,standard/country_large_old.lua,
112684, 109566, -5040.188, 4707.479, -14.936, 110422, -4963.092, 4745.860, -16.016,false,true,false,standard/country_large_old.lua,
98583, 83602, -5115.664, 4665.968, -8.567, 109566, -5040.188, 4707.479, -14.936,false,true,false,standard/country_large_old.lua,
107887, 110422, -4963.092, 4745.860, -16.016, 101233, -4884.475, 4781.062, -10.761,false,true,false,standard/country_large_old.lua,
109609, 101233, -4884.475, 4781.062, -10.761, 90064, -4841.261, 4798.796, -4.893,false,true,false,standard/country_large_old.lua,
107478, 102951, -1682.562, 5650.495, -4.311, 119138, -1646.529, 5609.722, -5.983,false,true,false,standard/country_large_old.lua,
108644, 119138, -1646.529, 5609.722, -5.983, 73180, -1605.808, 5573.606, -7.069,false,true,false,standard/country_large_old.lua,
107482, 73180, -1605.808, 5573.606, -7.069, 48054, -1549.442, 5535.902, -7.598,false,true,false,standard/country_large_old.lua,
119113, 84346, -1469.581, 5500.473, -6.948, 49722, -1384.062, 5481.045, -4.851,false,true,false,standard/country_large_old.lua,
107480, 65650, -1352.208, 5478.166, -3.748, 119026, -1295.289, 5478.686, -1.368,false,true,false,standard/country_large_old.lua,
