id,node0,x_0,y_0,z_0,node1,x_1,y_1,z_1,bus,tram,track,streetType
77312, 81376, -3592.003, -2032.856, -4.209, 38468, -3574.350, -2092.284, -4.003,false,false,false,standard/country_large_new.lua,
102613, 38468, -3574.350, -2092.284, -4.003, 99574, -3557.784, -2155.042, -3.199,false,false,false,standard/country_large_new.lua,
117684, 98610, -3591.979, -1971.034, -4.199, 81376, -3592.003, -2032.856, -4.209,false,false,false,standard/country_large_new.lua,
135745, 84126, -3565.749, -1903.173, -3.637, 98610, -3591.979, -1971.034, -4.199,false,false,false,standard/country_large_new.lua,
48197, 108342, 1911.417, -921.199, -7.957, 60072, 1939.657, -993.065, -2.483,false,false,false,standard/country_large_new.lua,
137873, 90654, 1886.797, -857.631, -11.994, 108342, 1911.417, -921.199, -7.957,false,false,false,standard/country_large_new.lua,
130575, 105436, 1851.495, -764.941, -13.441, 90654, 1886.797, -857.631, -11.994,false,false,false,standard/country_large_new.lua,
76486, 109054, 1771.751, -548.359, 1.171, 117949, 1804.463, -638.461, -7.171,false,false,false,standard/country_large_new.lua,
84689, 117949, 1804.463, -638.461, -7.171, 118681, 1816.814, -672.018, -9.743,false,false,false,standard/country_large_new.lua,
39774, 118681, 1816.814, -672.018, -9.743, 105436, 1851.495, -764.941, -13.441,false,false,false,standard/country_large_new.lua,
109482, 109303, -5581.898, 3922.396, -10.137, 117681, -5531.946, 3980.352, -14.340,false,true,false,standard/country_large_old.lua,
103596, 100798, -5608.285, 3901.454, -6.044, 109303, -5581.898, 3922.396, -10.137,false,true,false,standard/country_large_old.lua,
111389, 117681, -5531.946, 3980.352, -14.340, 119573, -5498.678, 4049.252, -11.316,false,true,false,standard/country_large_old.lua,
111383, 119573, -5498.678, 4049.252, -11.316, 119574, -5491.021, 4076.943, -8.358,false,true,false,standard/country_large_old.lua,
152886, 152797, -1031.479, 1335.825, -1.031, 152755, -1054.607, 1391.294, -4.166,false,false,false,standard/country_large_new.lua,
152854, 152756, -1084.048, 1460.384, -6.262, 152758, -1120.159, 1542.944, -6.139,false,false,false,standard/country_large_new.lua,
152807, 152755, -1054.607, 1391.294, -4.166, 152756, -1084.048, 1460.384, -6.262,false,false,false,standard/country_large_new.lua,
145830, 152774, -1138.129, 1583.180, -5.045, 86892, -1166.205, 1644.974, -2.048,false,false,false,standard/country_large_new.lua,
152855, 152758, -1120.159, 1542.944, -6.139, 152774, -1138.129, 1583.180, -5.045,false,false,false,standard/country_large_new.lua,
72302, 119574, -5491.021, 4076.943, -8.358, 65088, -5484.330, 4125.691, -1.093,false,true,false,standard/country_large_old.lua,
