fileName,id,name,x,y,z,
industry/iron_ore_mine.con, 7838, Ranchi Iron ore mine, -1588.000, 3072.000, 1.800,
industry/chemical_plant.con, 6453, Bangkok Chemical plant, -2140.000, -5908.000, 4.350,
station/rail/modular_station/modular_station.con, 113607, Bangkok South, -2140.781, -6016.197, 4.350,
depot/road_depot_era_a.con, 91415, Bangkok Road depot #2, -4372.934, -3863.463, 2.750,
industry/oil_refinery.con, 16226, Bangkok Oil refinery, -4344.000, -3964.000, 2.750,
station/rail/modular_station/modular_station.con, 112731, Bangkok, -4323.663, -4046.131, 2.750,
station/water/harbor_modular.con, 88764, Hangzhou Port, -6627.040, -284.864, 2.000,
industry/paper_mill.con, 9551, Hangzhou Paper mill, -6640.000, -176.000, 7.650,
building/era_a/res_1_3x4_04.con, 100587, no name, -4165.408, -638.511, 0.751,
building/era_a/res_1_3x4_03.con, 97726, no name, -4140.557, -635.732, 0.747,
building/era_a/res_1_3x4_04.con, 65087, no name, -4114.563, -633.864, 0.702,
building/era_a/res_1_2x2_01.con, 99075, no name, -4161.592, -588.040, 1.866,
building/era_a/res_1_2x2_02.con, 79401, no name, -4149.222, -578.446, 2.413,
building/era_a/res_1_1x2_01.con, 74116, no name, -4161.819, -600.597, 1.275,
building/era_a/res_1_2x2_02.con, 73719, no name, -4149.767, -594.826, 1.520,
building/era_a/res_1_1x2_02.con, 68391, no name, -4143.278, -619.917, 0.748,
building/era_a/res_1_1x2_01.con, 55394, no name, -4135.193, -619.191, 0.739,
building/era_a/res_1_1x2_02.con, 49321, no name, -4131.398, -550.936, 2.950,
building/era_a/res_1_3x4_03.con, 43396, no name, -4111.358, -532.527, 2.631,
building/era_a/res_1_3x4_03.con, 43026, no name, -4118.996, -618.072, 0.710,
building/era_a/res_1_3x4_04.con, 42926, no name, -4135.480, -535.334, 2.973,
building/era_a/res_1_1x2_01.con, 21024, no name, -4140.024, -552.118, 3.029,
building/era_a/res_1_4x4_01.con, 12384, no name, -4109.778, -548.437, 2.626,
building/era_a/res_1_1x2_02.con, 97248, no name, -4113.166, -415.505, 1.941,
building/era_a/res_1_2x2_02.con, 66466, no name, -4110.197, -435.480, 2.026,
building/era_a/res_1_1x2_01.con, 65713, no name, -4111.945, -423.490, 1.969,
building/era_a/res_1_1x2_02.con, 43452, no name, -4107.485, -455.492, 2.160,
building/era_a/res_1_2x2_01.con, 43447, no name, -4105.934, -467.510, 2.247,
building/era_a/res_1_1x2_01.con, 43442, no name, -4104.420, -479.532, 2.332,
building/era_a/res_1_1x1_01.con, 43441, no name, -4102.420, -495.564, 2.432,
building/era_a/res_1_1x2_01.con, 43436, no name, -4103.420, -487.548, 2.385,
building/era_a/res_1_1x2_01.con, 36898, no name, -4108.548, -447.484, 2.104,
building/era_a/res_1_4x4_04.con, 34489, no name, -4172.020, -492.629, 3.533,
building/era_a/res_1_3x4_04.con, 108427, no name, -4093.654, -375.022, 1.860,
depot/train_depot_era_a.con, 21865, Bangkok Train depot, -3908.300, -3374.686, 2.849,
station/rail/modular_station/modular_station.con, 47918, Bangkok Halt, -3532.509, -3162.402, 4.239,
building/era_a/res_1_3x4_04.con, 109810, no name, -2959.691, -4026.035, 10.504,
building/era_a/res_1_1x1_02.con, 94378, no name, -2960.813, -4003.169, 10.445,
building/era_a/res_1_2x2_01.con, 90950, no name, -2990.933, -4001.351, 9.789,
building/era_a/res_1_1x2_01.con, 85651, no name, -2955.291, -3997.229, 10.226,
building/era_a/res_1_1x2_02.con, 81109, no name, -2949.689, -3991.364, 9.777,
building/era_a/res_1_4x4_01.con, 68089, no name, -3006.390, -3983.286, 8.210,
building/era_a/res_1_3x4_01.con, 38213, no name, -2938.253, -3979.862, 8.536,
building/era_a/res_1_4x4_04.con, 62558, no name, -2939.298, -4003.617, 9.893,
building/era_a/res_1_3x4_02.con, 62198, no name, -2917.646, -3982.285, 7.477,
building/era_a/res_1_4x4_01.con, 42278, no name, -2894.930, -3962.067, 6.445,
building/era_a/res_1_1x2_01.con, 119397, no name, -3019.543, -3932.290, 6.886,
building/era_a/res_1_1x2_02.con, 93975, no name, -2962.008, -3902.395, 6.069,
building/era_a/res_1_1x2_02.con, 91202, no name, -2968.810, -3907.738, 6.143,
building/era_a/res_1_4x4_04.con, 91004, no name, -2985.346, -3921.674, 6.485,
building/era_a/res_1_2x3_02.con, 89889, no name, -2980.423, -3896.520, 6.155,
building/era_a/res_1_2x2_02.con, 89614, no name, -3004.215, -3939.496, 6.863,
building/era_a/res_1_4x4_02.con, 85442, no name, -2999.013, -3912.439, 6.563,
building/era_a/res_1_1x2_02.con, 71533, no name, -3013.805, -3926.488, 6.840,
building/era_a/res_1_3x4_04.con, 68754, no name, -2964.271, -3884.070, 6.046,
building/era_a/res_1_1x2_01.con, 60379, no name, -2937.971, -3919.775, 6.180,
building/era_a/res_1_1x2_01.con, 56199, no name, -2943.066, -3913.591, 6.117,
building/era_a/res_1_1x2_02.con, 49904, no name, -2950.446, -3873.902, 5.862,
building/era_a/res_1_1x2_01.con, 63636, no name, -2926.509, -3968.670, 7.314,
building/era_a/res_1_1x1_02.con, 61643, no name, -2918.571, -3924.427, 6.310,
building/era_a/res_1_2x2_01.con, 60569, no name, -2917.513, -3960.473, 6.613,
building/era_a/res_1_2x2_01.con, 60142, no name, -2938.609, -3885.041, 5.756,
building/era_a/res_1_2x2_02.con, 56335, no name, -2926.214, -3915.171, 6.215,
building/era_a/res_1_1x2_01.con, 56295, no name, -2896.013, -3942.100, 6.402,
building/era_a/res_1_2x2_02.con, 49897, no name, -2925.217, -3935.220, 6.345,
building/era_a/res_1_1x2_02.con, 49702, no name, -2932.873, -3925.956, 6.245,
building/era_a/res_1_2x2_02.con, 49627, no name, -2906.895, -3860.032, 5.463,
building/era_a/res_1_1x1_01.con, 48357, no name, -2913.466, -3930.590, 6.370,
building/era_a/res_1_3x4_04.con, 48066, no name, -2922.611, -3872.716, 5.485,
building/era_a/res_1_2x3_01.con, 47986, no name, -2872.832, -3862.323, 4.659,
building/era_a/res_1_1x2_01.con, 47650, no name, -2885.795, -3847.266, 4.745,
building/era_a/res_1_1x2_01.con, 46606, no name, -2871.160, -3921.736, 5.385,
building/era_a/res_1_1x2_02.con, 46602, no name, -2861.122, -3934.195, 5.385,
building/era_a/res_1_3x4_03.con, 45025, no name, -2873.488, -3944.242, 6.005,
building/era_a/res_1_3x4_03.con, 42264, no name, -2883.629, -3931.866, 6.005,
building/era_a/res_1_1x2_01.con, 38820, no name, -2880.582, -3853.264, 4.725,
building/era_a/res_1_1x1_02.con, 35601, no name, -2858.607, -3911.707, 4.756,
building/era_a/res_1_1x1_02.con, 35597, no name, -2864.894, -3916.709, 5.050,
building/era_a/res_1_1x1_01.con, 35507, no name, -2848.672, -3924.249, 4.756,
building/era_a/res_1_2x2_01.con, 35252, no name, -2847.677, -3893.084, 4.398,
