x,y,z
-7168,-7168,-42.35
-7138,-7168,-42.25
-7108,-7168,-44
-7078,-7168,-43.65
-7048,-7168,-45.2
-7018,-7168,-42.8
-6988,-7168,-43.85
-6958,-7168,-41.55
-6928,-7168,-40.2
-6898,-7168,-40.35
-6868,-7168,-42.2
-6838,-7168,-41.45
-6808,-7168,-44.05
-6778,-7168,-42.75
-6748,-7168,-41.35
-6718,-7168,-40.6
-6688,-7168,-42.8
-6658,-7168,-44.5
-6628,-7168,-43.75
-6598,-7168,-42.6
-6568,-7168,-41.95
-6538,-7168,-42.35
-6508,-7168,-40.9
-6478,-7168,-43.7
-6448,-7168,-43.6
-6418,-7168,-41.85
-6388,-7168,-45
-6358,-7168,-44.9
-6328,-7168,-42.2
-6298,-7168,-40.55
-6268,-7168,-40.55
-6238,-7168,-40.75
-6208,-7168,-39.55
-6178,-7168,-42.35
-6148,-7168,-40.95
-6118,-7168,-39.75
-6088,-7168,-38.05
-6058,-7168,-38.65
-6028,-7168,-40.05
-5998,-7168,-40.35
-5968,-7168,-43
-5938,-7168,-43.4
-5908,-7168,-40.4
-5878,-7168,-39.7
-5848,-7168,-41.4
-5818,-7168,-41.7
-5788,-7168,-41.45
-5758,-7168,-44.4
-5728,-7168,-47.05
-5698,-7168,-45.25
-5668,-7168,-42.75
-5638,-7168,-40.8
-5608,-7168,-42.1
-5578,-7168,-40.3
-5548,-7168,-39.9
-5518,-7168,-39.3
-5488,-7168,-40.85
-5458,-7168,-42.8
-5428,-7168,-43.25
-5398,-7168,-41
-5368,-7168,-39.95
-5338,-7168,-38.8
-5308,-7168,-41.65
-5278,-7168,-42.05
-5248,-7168,-43.35
-5218,-7168,-43.9
-5188,-7168,-43.95
-5158,-7168,-41.55
-5128,-7168,-40.85
-5098,-7168,-41.65
-5068,-7168,-41.4
-5038,-7168,-41.7
-5008,-7168,-42.6
-4978,-7168,-41.85
-4948,-7168,-43.65
-4918,-7168,-42.7
-4888,-7168,-40.95
-4858,-7168,-42.75
-4828,-7168,-44.2
-4798,-7168,-44.1
-4768,-7168,-43.8
-4738,-7168,-42.6
-4708,-7168,-41.6
-4678,-7168,-44.35
-4648,-7168,-46
-4618,-7168,-41
-4588,-7168,-42.4
-4558,-7168,-41.05
-4528,-7168,-44.95
-4498,-7168,-44.5
-4468,-7168,-42.5
-4438,-7168,-44.5
-4408,-7168,-42.45
-4378,-7168,-43
-4348,-7168,-43.05
-4318,-7168,-40.3
-4288,-7168,-40.25
-4258,-7168,-40.95
-4228,-7168,-41.35
